Quelle est la période couverte par la nouvelle stratégie nationale de cybersécurité française ?,La stratégie couvre la période de 2026 à 2030.
"Selon le Pilier 2, comment la résilience est-elle définie ?","C'est la capacité d'un pays à résister aux conséquences d'une agression ou catastrophe, puis à rétablir rapidement son fonctionnement normal."
Sur quoi reposera la politique de prévention et de sensibilisation aux risques de cybersécurité (Objectif 4) ?,"Elle reposera notamment sur une marque nationale de prévention du risque numérique, sur le modèle des campagnes de la prévention routière."
"Qu'est-ce que l'""approche proportionnée"" mentionnée dans l'Objectif 5 pour rehausser le niveau de cyber-protection ?","C'est une approche où les entités les plus critiques sont portées à un niveau de sécurité très élevé, tandis que d'autres sont soumises à des obligations proportionnées ou à des incitations."
La France déploiera des obligations de cybersécurité en cohérence avec quelle directive européenne ?,La directive européenne NIS2.
Quel dispositif sera mis en œuvre pour permettre aux entreprises et collectivités de valoriser leurs efforts de sécurisation ?,Un label de confiance.
Quel outil sera créé pour offrir aux citoyens une information claire et les guider dans leurs démarches de cybersécurité ?,Un portail national de la cybersécurité du quotidien.
Quelle plateforme constituera le guichet grand public pour les victimes de cybermalveillance ?,La plateforme 17Cyber.
"Quel est l'objectif principal du Pilier 3, ""Entraver l’expansion de la cybermenace"" ?","Augmenter significativement le coût (financier, humain, réputationnel) pour les adversaires potentiels afin de les décourager."
Quels types de leviers la France mobilisera-t-elle de manière coordonnée pour décourager les agressions cyber ?,"Des leviers judiciaires, techniques, diplomatiques, militaires et économiques."
Quel organisme joue un rôle central dans la réponse à une cyberattaque et assurera l'activation des moyens de réponse ?,Le Centre de coordination des crises cyber (C4).
Quelles entités composent le Centre de coordination des crises cyber (C4) ?,"L'ANSSI, le COMCYBER, la DGA, la DGSE, la DGSI et le Ministère de l’Europe et des Affaires étrangères."
Quelle mesure de protection la France déploiera-t-elle à destination du grand public pour prévenir l'accès aux sites web malveillants ?,Un filtre de cybersécurité.
Quelle communauté de centres de réponse à incident la France développera-t-elle pour renforcer le partage d'informations techniques ?,L'InterCERT France.
Quelle est l'ambition claire du Pilier 4 concernant les dépendances technologiques ?,Maitriser ses dépendances technologiques et conserver son autonomie d’appréciation et sa liberté d’action dans le cyberespace.
Dans quel domaine technologique critique la France investira-t-elle massivement pour assurer la confidentialité et l'intégrité des données ?,Dans le domaine de la cryptographie (le chiffrement).
Quel est l'un des principes fondamentaux sur lequel la France s'appuie pour son action internationale en matière de cyber ?,"Le respect des valeurs démocratiques, la promotion de l’État de droit et l’application du droit international dans le cyberespace."
Terme : Stratégies hybrides,"Définition : Recours par un acteur étranger à une combinaison d'actions militaires et non militaires (cyberattaques, manipulation de l'information, etc.) pour contraindre et affaiblir un pays."
"La France défend un cyberespace qui est libre, _____, sûr et non fragmenté.",ouvert
Quelle initiative lancée par la France en 2018 fédère des acteurs autour de principes pour un cyberespace pacifique ?,L'Appel de Paris pour la confiance et la sécurité dans le cyberespace.
"Quel processus, fruit d'une initiative franco-britannique, vise à lutter contre la prolifération des capacités d'intrusion cyber commerciales ?",Le Processus de Pall Mall.
Quelle convention internationale la France considère-t-elle comme fondamentale pour la coopération judiciaire contre la cybercriminalité ?,La Convention de Budapest du Conseil de l’Europe.
Quelle organisation la France considère-t-elle comme incontournable et privilégiée pour préserver sa capacité d'action dans le cyberespace ?,L'Union européenne (UE).
Terme : CyCLONe,"Définition : Réseau des agences en charge de la gestion de crise de cybersécurité des 27 États membres de l’UE, visant à partager l'information et coordonner la réponse."
Terme : CSIRT Network,Définition : Réseau regroupant les équipes de réponse à incident de chaque État membre de l'UE et le CERT-UE pour favoriser les échanges d'informations.
Terme : CYBERCO,"Définition : La Conférence des cybercommandeurs européens, qui rassemble les plus hautes autorités militaires de cyberdéfense des Etats membres de l’UE."
"Dans le cadre de l'OTAN, la France veillera à la _____ entre les actions de l'Alliance et celles de l'UE en matière de cyberdéfense.",complémentarité
L'effort de renforcement des capacités de résilience à l'échelle globale est désigné par le terme de capacité de _____.,cyber-solidarité
"La ""coopération structurelle"" dans le cadre de la cyber-solidarité vise à agir sur le _____ terme sur les capacités d'un partenaire.",long
"La ""coopération opérationnelle"" dans le cadre de la cyber-solidarité consiste à appuyer un partenaire par des opérations _____.",ponctuelles
Quelle initiative la France soutiendra-t-elle pour aider les États membres de l'UE et certains pays tiers à faire face aux incidents de cybersécurité ?,L'opérationnalisation de la Réserve cyber de l’UE.
Terme : Partenariats cyber agiles (TCP),Définition : Partenariats militaires de long terme pour appuyer les forces armées de pays partenaires dans le développement de leur capacité de cyberdéfense.
Le modèle d'organisation de la cybersécurité en France sépare les missions et capacités _____ et offensives.,défensives
Quelle est la première mission du volet défensif de la gouvernance cyber française ?,« L’Etat défend la Nation ».
Quel est l'objectif de la mission « L’Etat défend la Nation » ?,Organiser la réponse interministérielle de l’État aux agressions cyber.
Quelle est la deuxième mission du volet défensif de la gouvernance cyber française ?,« L’Etat se sécurise ».
Quel est l'objectif de la mission « L’Etat se sécurise » ?,Piloter la cybersécurité des ministères et de leurs secteurs d’activité d’importance vitale.
Quelle est la troisième mission du volet défensif de la gouvernance cyber française ?,« La Nation se renforce ».
Quel est l'objectif de la mission « La Nation se renforce » ?,Coordonner et développer les politiques publiques de cybersécurité.
"Au niveau stratégique, quel comité est responsable de la mission « L’Etat défend la Nation » ?",Le C4 STRAT (Centre de coordination des crises cyber de niveau stratégique).
"Au niveau stratégique, quel comité est responsable de la mission « L’Etat se sécurise » ?",Le COSINUS (Comité stratégique interministériel de la sécurité numérique).
"Au niveau stratégique, quel comité est responsable de la mission « La Nation se renforce » ?",Le C3PC (Comité de pilotage des politiques publiques cyber).
"Quel organisme assure le pilotage du C4 STRAT, du COSINUS et du C3PC au niveau stratégique ?",Le SGDSN (Secrétariat général de la Défense et de la Sécurité nationale).
"Au niveau opérationnel, quel centre est responsable de la mission « L’Etat défend la Nation » ?",Le C4 TECHOPS (Centre de coordination des crises cyber de niveau technico-opérationnel).
Quel organisme assure le pilotage du C4 TECHOPS au niveau opérationnel ?,L'ANSSI (Agence nationale de la sécurité des systèmes d’information).
Que signifie l'acronyme CDSN dans le schéma de la gouvernance cyber ?,Conseil de défense et de sécurité nationale.
Que signifie l'acronyme RIM dans le schéma de la gouvernance cyber ?,Réunion interministérielle.
Que signifie l'acronyme CINUS dans le schéma de la gouvernance cyber ?,Comité interministériel de suivi de la sécurité numérique.
